schema,cohort,prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,net_benefit_at_0.10,net_benefit_at_0.20,nb_positive_up_to
L1,kaggle_cvd70k,0.4947,extra,weighted + recalibrated,0.7935,0.1837,0.0016,0.0043,0.988,-0.0,0.4395,0.3797,0.6
L1,kaggle_cvd70k,0.4947,hgb,unweighted,0.7997,0.181,0.0029,0.0043,1.015,0.001,0.4394,0.38,0.6
L1,kaggle_cvd70k,0.4947,hgb,weighted,0.7997,0.1811,0.004,0.005,1.01,-0.02,0.4394,0.3799,0.6
L1,kaggle_cvd70k,0.4947,hgb,weighted + recalibrated,0.7991,0.1812,0.0013,0.0034,0.991,-0.0,0.4392,0.38,0.6
L1,va_longbeach,0.7437,logreg,unweighted,0.6408,0.1813,0.051,0.0902,0.742,0.259,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,logreg,weighted,0.6364,0.2335,0.2219,0.2288,0.78,1.044,0.7152,0.6709,0.6
L1,va_longbeach,0.7437,logreg,weighted + recalibrated,0.5894,0.194,0.0779,0.0833,-0.001,1.067,0.7052,0.6696,0.6
L1,va_longbeach,0.7437,dtree,unweighted,0.6004,0.1912,0.0575,0.0733,0.477,0.535,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,dtree,weighted,0.601,0.2472,0.2211,0.2283,0.478,1.043,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,dtree,weighted + recalibrated,0.5902,0.1872,0.0249,0.0483,0.105,0.922,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,rf,unweighted,0.5723,0.1916,0.0935,0.1101,0.444,0.569,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,rf,weighted,0.5718,0.2233,0.1605,0.1786,0.411,0.932,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,rf,weighted + recalibrated,0.5368,0.1993,0.0635,0.0635,0.003,1.063,0.7058,0.6709,0.6
L1,va_longbeach,0.7437,extra,unweighted,0.5819,0.1862,0.0231,0.0295,0.843,0.153,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,extra,weighted,0.5844,0.2347,0.2241,0.2241,0.845,0.996,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,extra,weighted + recalibrated,0.5262,0.1934,0.0534,0.0621,0.235,0.792,0.7152,0.6796,0.6
L1,va_longbeach,0.7437,hgb,unweighted,0.5711,0.2108,0.1379,0.1416,0.213,0.771,0.7152,0.6746,0.6
L1,va_longbeach,0.7437,hgb,weighted,0.5649,0.2475,0.1781,0.2074,0.197,0.97,0.7152,0.6583,0.6
L1,va_longbeach,0.7437,hgb,weighted + recalibrated,0.5401,0.1939,0.0608,0.0634,0.042,1.008,0.7152,0.6796,0.6
